IDJwb,IDPSJ,Cosim-Unigram,Cosim-Bigram,TypeTokenRatio,WordCountRatio,labela,label
1,1,1.0,0.9999999999999994,0.7058823529411765,0.5,A,5
2,1,0.030192923788021523,0.0,0.7272727272727273,0.853798059619033,C,3
3,1,0.3254115208658799,0.03165104560691239,0.7777777777777778,0.1655296252112682,A,5
4,1,0.24979097835878644,0.1098519323131653,0.7857142857142857,0.9498448031311921,D,2
5,1,0.41533867600272834,0.11085800303927,0.6,0.1655296252112682,A,5
6,1,0.2013345492012818,0.01577021446301178,0.5576923076923077,0.0661705188815137,A,5
7,1,0.4763905351244585,0.07584467124139338,0.46511627906976744,0.21023169065441602,A,5
8,1,0.22763604590205003,0.01625572443925869,0.4406779661016949,0.024687266481976746,A,5
9,1,0.34976417525261766,0.0432676737809387,0.8928571428571429,0.7073095709253993,A,5
10,1,0.22956649761762155,0.030656674566042912,0.5072463768115942,0.005782851030796642,A,5
11,1,0.23905048327512768,0.04282407907499759,0.5294117647058824,0.5,A,5
12,1,0.2941424927197563,0.024886118635008187,0.6756756756756757,0.39146067559411846,A,5
13,1,0.44099078726109786,0.09145150242359608,1.0,0.9910390914094755,D,2
14,1,0.08402708213369715,0.0,0.7692307692307693,0.9564048455420865,A,5
15,1,0.0,0.0,0.7692307692307693,0.9564048455420865,A,5
16,1,0.5161094795991141,0.1193921080872218,0.625,0.978616691868259,B,4
17,1,0.0783506945656155,0.0,1.0,0.978616691868259,D,2
18,1,0.08099386112409111,0.0,0.7037037037037037,0.7643126128217472,C,3
19,1,0.3533089475934308,0.026418080042064286,0.6730769230769231,0.0661705188815137,A,5
20,1,0.058206724351085426,0.0,0.4166666666666667,0.4269960990746621,A,5
21,1,0.04982839597194288,0.0,0.7857142857142857,0.7073095709253993,C,3
22,1,0.2973075631122703,0.0,0.75,0.9621410670380313,C,3
23,1,0.4193841133211518,0.107544363334316,0.7272727272727273,0.5366985918197641,A,5
24,1,0.23103600897549315,0.03635696845934388,0.5084745762711864,0.024687266481976746,A,5
25,1,0.37814351336663804,0.07832295859523628,0.6944444444444444,0.4269960990746621,A,5
26,1,0.21199079214351646,0.03349456161284935,1.0,0.9715131372000663,A,5
27,1,0.40057053880522653,0.08209046743425595,0.5,0.6429601378600831,A,5
28,1,0.3355069845660037,0.027974758567501777,0.5957446808510638,0.12878272640327323,A,5
29,1,0.2822139694860928,0.04031584019139637,0.6326530612244898,0.09922349417122042,A,5
