IDJwb,IDPSJ,Cosim-Unigram,Cosim-Bigram,TypeTokenRatio,WordCountRatio,labela,label
678,11,0.934586286,0.533811345,0.434782609,0.834470375,E,1
679,11,0.803175765,0.336388545,0.393939394,0.536698592,A,5
680,11,0.881406928,0.698972385,0.487179487,0.324034047,C,3
681,11,0.896987801,0.756799287,0.333333333,0.642960138,C,3
682,11,0.625017067,0.463402183,0.739130435,0.834470375,E,1
683,11,0.57255961,0.075636378,0.875,0.978616692,E,1
684,11,0.821443744,0.410709645,0.615384615,0.956404846,E,1
685,11,0.146359262,0.03021134,0.8125,0.573003901,E,1
686,11,0,0,1,0.992255065,E,1
687,11,0.955227955,0.86526798,0.40625,0.573003901,E,1
688,11,0.38340498,0.137087789,0.923076923,0.956404846,E,1
689,11,0.853937167,0.665564419,0.238095238,2.92E-05,A,5
690,11,0.75932179,0.636194283,0.457142857,0.463301408,C,3
691,11,0.80770128,0.578111867,0.65,0.886836156,C,3
692,11,0.912097153,0.804448463,0.371428571,0.463301408,C,3
693,11,1,1,0.486486486,0.391460676,A,5
694,11,0.255594322,0,1,0.981486867,E,1
695,11,0.48155552,0.068618311,0.433333333,0.642960138,E,1
696,11,0.522588021,0.101031447,0.727272727,0.967148446,E,1
697,11,0.863070219,0.780740227,0.818181818,0.967148446,E,1
698,11,0.257528797,0.020466555,0.558823529,0.5,E,1
699,11,0.908240446,0.616308205,0.5,0.913167724,E,1
700,11,0.946025522,0.789369598,0.571428571,0.871217274,D,2
701,11,1,1,0.441176471,0.5,B,4
702,11,0,0,1,0.991039091,E,1
703,11,0.723293706,0.319918394,0.46875,0.573003901,D,2
704,11,0.936634782,0.844432736,0.486486486,0.391460676,A,5
705,11,0.756592487,0.371102151,0.512820513,0.324034047,C,3
706,11,0.951202116,0.805262732,0.5,0.426996099,A,5
707,11,0,0,1,0.992255065,E,1
708,11,0.264683905,0,0.769230769,0.764312613,E,1
709,11,0.986504426,0.73687996,0.516129032,0.608539324,A,5
710,11,0.910208723,0.493932023,0.558823529,0.5,A,5
711,11,0.686802898,0.2597897,0.619047619,0.871217274,E,1
712,11,0.983795668,0.934277873,0.4,0.463301408,A,5
713,11,0.830349318,0.423694553,0.545454545,0.536698592,D,2
714,11,0.230589173,0,0.9,0.971513137,E,1
715,11,0.728120279,0.225056753,0.565217391,0.834470375,E,1
716,11,0,0,0.857142857,0.981486867,E,1
717,11,0.340794317,0.03323287,0.826086957,0.834470375,E,1
