IDJwb,IDPSJ,Cosim-Unigram,Cosim-Bigram,TypeTokenRatio,WordCountRatio,labela,label
1,1,1.0000000000000002,1.0,0.7058823529411765,0.5,A,5
2,1,0.02519791550807361,0.0,0.7272727272727273,0.853798059619033,C,3
3,1,0.3628205977290888,0.03718059509113898,0.7777777777777778,0.1655296252112682,A,5
4,1,0.2364705425725071,0.1128558935800151,0.7857142857142857,0.9498448031311921,D,2
5,1,0.4391021795381156,0.11713706241782892,0.6,0.1655296252112682,A,5
6,1,0.2261713211667416,0.018673223748752715,0.5576923076923077,0.0661705188815137,A,5
7,1,0.5164222126909043,0.08478401213059411,0.46511627906976744,0.21023169065441602,A,5
8,1,0.22938126914340567,0.019064857933094485,0.4406779661016949,0.024687266481976746,A,5
9,1,0.39465478481685806,0.05042507653715507,0.8928571428571429,0.7073095709253993,A,5
10,1,0.24391429394598652,0.0342251435579979,0.5072463768115942,0.005782851030796642,A,5
11,1,0.271654552078111,0.047972150392410165,0.5294117647058824,0.5,A,5
12,1,0.3296388037307514,0.029320402393154907,0.6756756756756757,0.39146067559411846,A,5
13,1,0.4792145814469339,0.09915776188136069,1.0,0.9910390914094755,D,2
14,1,0.09042006341880726,0.0,0.7692307692307693,0.9564048455420865,A,5
15,1,0.0,0.0,0.7692307692307693,0.9564048455420865,A,5
16,1,0.5596414660335424,0.13244782736473315,0.625,0.978616691868259,B,4
17,1,0.06856351342827453,0.0,1.0,0.978616691868259,D,2
18,1,0.07622091148255765,0.0,0.7037037037037037,0.7643126128217472,C,3
19,1,0.37659067682590125,0.030658849675807554,0.6730769230769231,0.0661705188815137,A,5
20,1,0.05539583584023259,0.0,0.4166666666666667,0.4269960990746621,A,5
21,1,0.03708119461727981,0.0,0.7857142857142857,0.7073095709253993,C,3
22,1,0.3404208035119696,0.0,0.75,0.9621410670380313,C,3
23,1,0.44318638534779975,0.11369454845337404,0.7272727272727273,0.5366985918197641,A,5
24,1,0.2405408530309079,0.03904435904887164,0.5084745762711864,0.024687266481976746,A,5
25,1,0.39065629163171056,0.07827489760262143,0.6944444444444444,0.4269960990746621,A,5
26,1,0.23606416131599048,0.03921713520406463,1.0,0.9715131372000663,A,5
27,1,0.43038936745361034,0.0868867785827355,0.5,0.6429601378600831,A,5
28,1,0.35865192485378505,0.03212971823819127,0.5957446808510638,0.12878272640327323,A,5
29,1,0.29757620018086384,0.04474506701656335,0.6326530612244898,0.09922349417122042,A,5
30,1,0.0,0.0,1.0,0.9896342007719289,E,1
31,1,0.5596414660335424,0.13216622798001545,0.625,0.978616691868259,B,4
32,1,0.5963744666800448,0.11894209963163258,0.75,0.9621410670380313,B,4
33,1,0.015416292398807374,0.028255428555847454,0.71875,0.5730039009253378,C,3
34,1,0.5596414660335424,0.13216622798001545,0.75,0.9621410670380313,B,4
35,1,0.0,0.0,0.8,0.9715131372000663,C,3
36,1,0.35819516192369366,0.1621710539352822,0.5714285714285714,0.013861168055877376,A,5
37,1,0.2056753911079796,0.00797026111889987,0.6122448979591837,0.09922349417122042,B,4
38,1,0.43222539987535485,0.12801912487890135,0.6206896551724138,0.6759659534078198,A,5
39,1,0.008328205573077728,0.0,0.6842105263157895,0.9007765058287797,C,3
40,1,0.0,0.0,1.0,0.9922550654732578,E,1
41,1,0.3847786229652084,0.04259580181317527,0.4444444444444444,0.0037276773391546145,B,4
42,1,0.04414387844369827,0.0,0.7567567567567568,0.39146067559411846,C,3
43,1,0.3258338078909362,0.0335293876206905,0.7037037037037037,0.7368018382600305,A,5
44,1,0.054539407557224175,0.0,0.7428571428571429,0.46330140818023613,C,3
45,1,0.5596414660335424,0.13244782736473315,0.75,0.9621410670380313,B,4
46,1,0.5147691104735701,0.0612972258841947,0.7058823529411765,0.9241418199787566,A,5
47,1,0.3852789502894241,0.04022415541696845,0.6461538461538462,0.010365799228071217,A,5
48,1,0.02671755695474542,0.0,0.6428571428571429,0.35703986213991684,C,3
49,1,0.4196983830536298,0.051254951926891945,0.625,0.978616691868259,B,4
50,1,0.37021192942722064,0.020076269461032987,0.373134328358209,0.007744934526742161,A,5
51,1,0.05102092204776343,0.01272946752720432,0.5070422535211268,0.0043156752175704405,A,5
52,1,0.0,0.0,0.8125,0.9338294811184863,C,3
53,1,0.40733291353611656,0.04476262219760666,0.5411764705882353,0.0005527786369235996,A,5
54,1,0.0,0.0,1.0,0.9839780992822406,D,2
55,1,0.022183462795442283,0.0,0.9,0.9715131372000663,C,3
56,1,0.03750010360854313,0.0,0.9473684210526315,0.9007765058287797,C,3
57,1,0.5683139390749831,0.09950486712279616,0.7857142857142857,0.9498448031311921,B,4
58,1,0.5203312256937533,0.1182646470497375,0.53125,0.5730039009253378,A,5
59,1,0.5192214627600287,0.06631528384416104,0.5185185185185185,0.08683227582927887,A,5
60,1,0.2808263571342792,0.03984481827703332,0.6637931034482759,5.7931792569742005e-06,A,5
61,1,0.0,0.0,0.75,0.978616691868259,E,1
62,1,0.4151079587111034,0.07048431459947568,0.8461538461538461,0.9564048455420865,C,3
63,1,0.0,0.0,0.7058823529411765,0.9241418199787566,C,3
