IDJwb,IDPSJ,Cosim-Unigram,Cosim-Bigram,WordCountRatio,labela,label
1,1,1.0000000000000002,1.0,0.0,A,5
2,1,0.02519791550807361,0.0,0.3529411764705882,C,3
3,1,0.3628205977290888,0.03718059509113898,-0.32352941176470584,A,5
4,1,0.2364705425725071,0.1128558935800151,0.5882352941176471,D,2
5,1,0.4391021795381156,0.11713706241782892,-0.32352941176470584,A,5
6,1,0.2261713211667416,0.018673223748752715,-0.5294117647058822,A,5
7,1,0.5164222126909043,0.08478401213059411,-0.2647058823529411,A,5
8,1,0.22938126914340567,0.019064857933094485,-0.7352941176470589,A,5
9,1,0.39465478481685806,0.05042507653715507,0.17647058823529416,A,5
10,1,0.24391429394598652,0.0342251435579979,-1.0294117647058822,A,5
11,1,0.271654552078111,0.047972150392410165,0.0,A,5
12,1,0.3296388037307514,0.029320402393154907,-0.08823529411764697,A,5
13,1,0.4792145814469339,0.09915776188136069,0.9411764705882353,D,2
14,1,0.09042006341880726,0.0,0.6176470588235294,A,5
15,1,0.0,0.0,0.6176470588235294,A,5
16,1,0.5596414660335424,0.13244782736473315,0.7647058823529411,B,4
17,1,0.06856351342827453,0.0,0.7647058823529411,D,2
18,1,0.07622091148255765,0.0,0.23529411764705888,C,3
19,1,0.37659067682590125,0.030658849675807554,-0.5294117647058822,A,5
20,1,0.05539583584023259,0.0,-0.05882352941176472,A,5
21,1,0.03708119461727981,0.0,0.17647058823529416,C,3
22,1,0.3404208035119696,0.0,0.6470588235294117,C,3
23,1,0.44318638534779975,0.11369454845337404,0.02941176470588236,A,5
24,1,0.2405408530309079,0.03904435904887164,-0.7352941176470589,A,5
25,1,0.39065629163171056,0.07827489760262143,-0.05882352941176472,A,5
26,1,0.23606416131599048,0.03921713520406463,0.7058823529411764,A,5
27,1,0.43038936745361034,0.0868867785827355,0.11764705882352944,A,5
28,1,0.35865192485378505,0.03212971823819127,-0.38235294117647056,A,5
29,1,0.29757620018086384,0.04474506701656335,-0.4411764705882353,A,5
30,1,0.0,0.0,0.9117647058823529,E,1
31,1,0.5596414660335424,0.13216622798001545,0.7647058823529411,B,4
32,1,0.5963744666800448,0.11894209963163258,0.6470588235294117,B,4
33,1,0.015416292398807374,0.028255428555847454,0.05882352941176472,C,3
34,1,0.5596414660335424,0.13216622798001545,0.6470588235294117,B,4
35,1,0.0,0.0,0.7058823529411764,C,3
36,1,0.35819516192369366,0.1621710539352822,-0.8529411764705883,A,5
37,1,0.2056753911079796,0.00797026111889987,-0.4411764705882353,B,4
38,1,0.43222539987535485,0.12801912487890135,0.1470588235294118,A,5
39,1,0.008328205573077728,0.0,0.4411764705882353,C,3
40,1,0.0,0.0,0.9705882352941176,E,1
41,1,0.3847786229652084,0.04259580181317527,-1.1176470588235294,B,4
42,1,0.04414387844369827,0.0,-0.08823529411764697,C,3
43,1,0.3258338078909362,0.0335293876206905,0.20588235294117652,A,5
44,1,0.054539407557224175,0.0,-0.02941176470588225,C,3
45,1,0.5596414660335424,0.13244782736473315,0.6470588235294117,B,4
46,1,0.5147691104735701,0.0612972258841947,0.5,A,5
47,1,0.3852789502894241,0.04022415541696845,-0.911764705882353,A,5
48,1,0.02671755695474542,0.0,-0.11764705882352944,C,3
49,1,0.4196983830536298,0.051254951926891945,0.7647058823529411,B,4
50,1,0.37021192942722064,0.020076269461032987,-0.9705882352941178,A,5
51,1,0.05102092204776343,0.01272946752720432,-1.0882352941176472,A,5
52,1,0.0,0.0,0.5294117647058824,C,3
53,1,0.40733291353611656,0.04476262219760666,-1.5,A,5
54,1,0.0,0.0,0.8235294117647058,D,2
55,1,0.022183462795442283,0.0,0.7058823529411764,C,3
56,1,0.03750010360854313,0.0,0.4411764705882353,C,3
57,1,0.5683139390749831,0.09950486712279616,0.5882352941176471,B,4
58,1,0.5203312256937533,0.1182646470497375,0.05882352941176472,A,5
59,1,0.5192214627600287,0.06631528384416104,-0.47058823529411775,A,5
60,1,0.2808263571342792,0.03984481827703332,-2.411764705882353,A,5
61,1,0.0,0.0,0.7647058823529411,E,1
62,1,0.4151079587111034,0.07048431459947568,0.6176470588235294,C,3
63,1,0.0,0.0,0.5,C,3
64,1,0.26928932369551833,0.0,-0.9705882352941178,A,5
65,1,0.031408451962594994,0.0,0.20588235294117652,C,3
66,1,0.45024089621167285,0.09390711888410748,-0.02941176470588225,B,4
67,1,0.08107019893062038,0.027343907943010275,-0.08823529411764697,C,3
68,1,0.42963551799861105,0.04807651533623695,-1.2941176470588234,A,5
69,1,0.3877669668708371,0.05163782694197437,0.3529411764705882,A,5
70,1,0.08421656961650374,0.0,0.3529411764705882,E,1
71,1,0.5596414660335424,0.13382783890734595,0.7647058823529411,B,4
72,1,0.023896451985904593,0.0,0.2647058823529411,C,3
73,1,0.5644350191739284,0.13812228894941586,-1.3529411764705883,A,5
74,1,0.5963744666800448,0.11894209963163258,0.6470588235294117,B,4
75,1,0.05431621417077767,0.0,0.5294117647058824,C,3
76,1,0.0,0.0,0.6764705882352942,C,3
77,1,0.12803979379487895,0.0,-0.08823529411764697,C,3
78,1,0.022648963798682992,0.0,0.6470588235294117,C,3
79,1,0.40378955605897776,0.02183940948595321,0.7647058823529411,B,4
80,1,0.00831051008115914,0.0,0.5294117647058824,C,3
81,1,0.0,0.0,0.47058823529411764,C,3
82,1,0.23606416131599048,0.03921713520406463,0.7058823529411764,A,5
83,1,0.34655393191745065,0.04818950340915666,-0.6764705882352942,A,5
84,1,0.2707378520997897,0.05463460904902443,-0.23529411764705888,A,5
85,1,0.4230164130953956,0.04491663697508739,0.23529411764705888,B,4
86,1,0.010936661625469545,0.0,0.5,C,3
87,1,0.5918749055848491,0.10506029840558749,-0.5588235294117647,A,5
88,1,0.0,0.0,0.9705882352941176,E,1
89,1,0.32803117348550886,0.033337388606771524,-1.2941176470588234,A,5
90,1,0.3415931763043537,0.043941702357780554,0.23529411764705888,A,5
91,1,0.0,0.0,0.9705882352941176,E,1
92,1,0.34776829829167566,0.0,0.9117647058823529,E,1
93,1,0.01171522347308658,0.0,0.7941176470588236,E,1
94,1,0.0,0.0,0.7352941176470589,E,1
