IDJwb,IDPSJ,Cosim-Unigram,Cosim-Bigram,TypeTokenRatio,WordCountRatio,labela,label
90,1,0.35411944484527325,0.09716607771202636,0.5416666666666666,0.6713474534827301,A,5
27,1,0.4452703317565281,0.20547759738040738,0.52,0.6308148893779794,A,5
43,1,0.3426368178966914,0.07418931536465237,0.68,0.6308148893779794,A,5
71,1,0.5866565235273793,0.27638910569286534,0.625,0.9726532132038171,B,4
16,1,0.5866565235273793,0.27118940866825525,0.625,0.9726532132038171,B,4
41,1,0.41828584703223515,0.10634658552056722,0.4642857142857143,0.0066928509242848554,B,4
73,1,0.5781958316201624,0.2717207996831261,0.48333333333333334,0.0032876613859340125,A,5
10,1,0.21815914374327383,0.05506843142345022,0.6,0.00799090249674733,A,5
97,1,0.09939330414493233,0.0,1.0,0.9241418199787566,D,2
12,1,0.3408456983732921,0.06521580208929376,0.7058823529411765,0.2551315043313167,A,5
92,1,0.37220968028843504,0.0,0.6666666666666666,0.9886181222706484,E,1
65,1,0.020593368520536767,0.0,0.6,0.8066786301976913,C,3
29,1,0.28912117946278715,0.06611091462714404,0.75,0.19332136980230863,A,5
84,1,0.2628621513259719,0.09069407791813029,0.696969696969697,0.29052056553535094,A,5
6,1,0.23975854365615792,0.039922860818420086,0.5490196078431373,0.016188346197636892,A,5
48,1,0.0,0.0,0.6875,0.5,C,3
54,1,0.0,0.0,1.0,0.9807077572756677,D,2
36,1,0.3605253966268435,0.2587583966695473,0.6274509803921569,0.016188346197636892,A,5
17,1,0.07046749258998523,0.0,1.0,0.9726532132038171,D,2
82,1,0.2549240109609733,0.08273628556234064,1.0,0.9613683488409503,A,5
35,1,0.0,0.0,0.8,0.9613683488409503,C,3
8,1,0.24360196335240408,0.09515662575950962,0.4772727272727273,0.05431326613264064,A,5
44,1,0.03249995393356436,0.0,0.7857142857142857,0.5,C,3
74,1,0.6250110062386294,0.24374146001401234,0.75,0.9456867338673594,B,4
28,1,0.37127657789027135,0.10036056900590352,0.71875,0.3286525465172701,A,5
20,1,0.04063264733048849,0.0,0.4444444444444444,0.5445246041694309,A,5
95,1,0.0,0.0,0.875,0.9726532132038171,E,1
26,1,0.2549240109609733,0.08273628556234064,1.0,0.9613683488409503,A,5
63,1,0.0,0.0,0.75,0.8949994149797352,C,3
50,1,0.41267966768832287,0.05015519830479,0.43137254901960786,0.016188346197636892,A,5
14,1,0.09772735613696967,0.0,0.7692307692307693,0.9357502889191065,A,5
25,1,0.3890729278457745,0.13659728878473054,0.7931034482758621,0.45547539583056895,A,5
4,1,0.22119967941611873,0.08660493370195627,0.9,0.9613683488409503,D,2
18,1,0.07012478361750517,0.0,0.6956521739130435,0.7448684956686834,C,3
39,1,0.0,0.0,0.625,0.8949994149797352,C,3
9,1,0.4096072781515724,0.11449268149810796,0.88,0.6308148893779794,A,5
80,1,0.0,0.0,1.0,0.9456867338673594,C,3
7,1,0.5171368834658239,0.1971565469464234,0.4444444444444444,0.19332136980230863,A,5
66,1,0.47327407869216864,0.2173504266603304,0.5833333333333334,0.6713474534827301,B,4
37,1,0.2536424672942056,0.022380098948733607,0.7297297297297297,0.16698566824807262,B,4
89,1,0.28001722791149464,0.07701537744235237,0.5555555555555556,0.0019267346633274757,A,5
57,1,0.6094185305626267,0.24796479346310207,0.7692307692307693,0.9357502889191065,B,4
101,1,0.1602804741478972,0.04202361459877187,1.0,0.9541617488971289,D,2
55,1,0.0,0.0,1.0,0.9770226300899744,C,3
51,1,0.038094994984273774,0.0,0.49122807017543857,0.005604465111418633,A,5
69,1,0.3990004934934186,0.11980702900766942,0.631578947368421,0.8330143317519274,A,5
47,1,0.4285779363305008,0.10247026862910026,0.7446808510638298,0.03251944391583117,A,5
70,1,0.0761769554673846,0.0,0.9375,0.8949994149797352,E,1
62,1,0.45587297043277764,0.16612544317352942,0.8333333333333334,0.9456867338673594,C,3
99,1,0.156860046146451,0.0,1.0,0.9726532132038171,D,2
81,1,0.0,0.0,0.9375,0.8949994149797352,C,3
42,1,0.0,0.0,0.8214285714285714,0.5,C,3
59,1,0.5462119826595243,0.16665624318343522,0.5853658536585366,0.16698566824807262,A,5
49,1,0.4471671391559065,0.10968298371335017,0.625,0.9726532132038171,B,4
91,1,0.0,0.0,1.0,0.9920090975032526,E,1
58,1,0.5593334135871713,0.2661024895639163,0.5714285714285714,0.5,A,5
76,1,0.0,0.0,0.8181818181818182,0.9541617488971289,C,3
33,1,0.010028953573890635,0.0,0.7142857142857143,0.5,C,3
96,1,0.0,0.0,1.0,0.876996017054471,D,2
60,1,0.24077804079719037,0.06982168092071943,0.7362637362637363,1.3007128466476033e-05,A,5
64,1,0.264355419278117,0.0,0.4909090909090909,0.00799090249674733,A,5
86,1,0.0,0.0,0.8666666666666667,0.9241418199787566,C,3
38,1,0.4283087254947491,0.252954242489704,0.7272727272727273,0.7448684956686834,A,5
30,1,0.0,0.0,1.0,0.9886181222706484,E,1
2,1,0.0,0.0,0.7777777777777778,0.8564010312515399,C,3
53,1,0.4517240451462518,0.12307646374267159,0.625,0.001612152748526295,A,5
22,1,0.3625297908305583,0.0,0.75,0.9456867338673594,C,3
3,1,0.3778352241033789,0.09284470253606183,0.8529411764705882,0.2551315043313167,A,5
24,1,0.23234166767406,0.046653501948735854,0.5510204081632653,0.022977369910025615,A,5
88,1,0.0,0.0,1.0,0.9920090975032526,E,1
100,1,0.17577843759589046,0.0,1.0,0.9106362629690707,D,2
75,1,0.04674328973152791,0.0,0.9333333333333333,0.9106362629690707,C,3
87,1,0.6024266302351806,0.25916117333929506,0.4523809523809524,0.07585818002124355,A,5
83,1,0.3498888741309879,0.12134813785353546,0.5909090909090909,0.05431326613264064,A,5
21,1,0.06370919898961022,0.0,0.8260869565217391,0.7094794344646491,C,3
61,1,0.0,0.0,0.75,0.9726532132038171,E,1
72,1,0.0,0.0,0.85,0.8066786301976913,C,3
15,1,0.0,0.0,0.8888888888888888,0.9674805560841688,A,5
93,1,0.0,0.0,0.8333333333333334,0.9807077572756677,E,1
52,1,0.0,0.0,0.8,0.9106362629690707,C,3
400,8,0.46657668524508267,0.022701698111492447,0.6428571428571429,0.9241418199787566,C,3
424,8,0.0,0.0,1.0,0.9886181222706484,E,1
396,8,0.5372856852733745,0.13795217698964785,0.72,0.7772998611746911,B,4
356,8,0.8700389677023525,0.6692577028152135,0.6829268292682927,0.08936373703092923,C,3
419,8,0.5008155117721594,0.1228650827524807,0.6666666666666666,0.12300398294552908,A,5
415,8,0.03533375125704863,0.0,1.0,0.9886181222706484,E,1
